station,week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,y
0,13,1985,0,3,0,1,1,0,4,1,0,3,0,3,5,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8
0,15,1993,0,0,1,0,0,2,0,1,1,1,1,4,1,6,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8
0,16,1945,1,1,0,3,4,4,2,4,0,9,0,2,7,11,6,3,4,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,98.8
0,17,1976,0,0,0,0,0,1,0,1,2,6,2,6,5,3,3,0,1,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,100.2
0,18,2005,0,0,0,0,1,0,1,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
0,19,1981,1,1,2,0,2,4,2,0,1,5,2,3,1,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2
0,20,1973,0,0,0,0,0,0,0,4,6,4,5,4,3,0,6,0,1,2,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,84.8
0,21,1948,2,1,1,3,3,0,2,1,6,4,8,7,14,9,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4
0,22,1922,0,0,2,3,3,2,1,2,7,7,2,8,8,12,8,7,2,4,4,1,3,4,0,0,3,0,0,1,0,0,0,0,0,109.2
0,23,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,24,1975,1,0,2,1,0,3,1,6,2,2,3,4,2,0,4,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
0,26,2003,0,0,2,0,2,0,1,0,2,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
0,28,1927,0,0,3,2,4,6,2,3,1,9,8,18,7,5,4,3,1,4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,74.2
0,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,31,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.6
0,32,2000,0,0,0,0,0,0,0,0,0,6,1,0,2,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
0,33,1961,0,0,0,0,0,4,3,3,2,3,3,4,3,5,2,4,1,4,1,0,1,2,2,1,4,0,2,1,0,0,0,0,0,89.0
0,35,2014,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
0,36,2004,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,37.2
0,37,1997,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,3,1,3,0,1,0,0,2,0,0,1,1,2,1,0,0,0,0,36.8
0,38,1964,0,0,0,0,1,1,1,0,1,0,1,4,4,4,4,3,3,3,5,4,3,1,0,1,2,1,4,1,0,0,0,0,0,67.8
0,39,2003,0,0,0,1,1,0,2,1,0,0,0,2,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,22.2
0,41,1950,0,0,0,0,0,4,0,2,2,0,2,2,3,4,0,6,3,5,4,3,2,5,2,4,2,3,2,2,3,1,0,0,0,88.6
0,44,1967,0,0,2,0,1,4,4,1,5,2,3,2,1,9,5,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,10.4
0,45,1917,0,0,0,1,0,5,4,5,2,4,6,2,4,7,2,9,2,7,5,4,4,1,2,2,1,2,1,7,8,2,0,0,0,151.0
0,46,1945,0,0,0,1,1,0,0,7,0,5,7,1,1,0,2,3,8,2,1,2,1,0,4,0,3,2,4,1,4,4,7,0,0,144.8
0,47,1983,0,0,0,0,0,0,2,1,1,2,2,2,0,1,3,5,6,0,2,0,1,0,1,2,0,1,0,0,1,0,0,0,0,56.2
0,48,1987,0,0,0,0,1,4,6,0,3,4,1,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6
0,49,1992,0,0,0,1,0,0,3,0,1,0,1,0,0,1,0,1,0,5,1,0,1,0,2,1,1,1,4,0,0,0,0,0,0,39.2
0,50,1962,0,1,2,0,0,1,2,0,0,1,1,5,3,4,1,2,3,0,1,4,2,3,4,6,2,0,0,0,2,4,0,0,0,105.8
0,51,1996,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,1,4,0,0,1,0,0,0,0,1,1,3,0,0,0,0,48.4
1,13,1986,0,0,0,4,3,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
1,15,1950,0,0,0,0,2,14,18,9,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,5,0,0,0,0,90.4
